7zip 24.09-3
perl 5.40.1-1
perl-curses 1.45-2
perl-error 0.17029-7
perl-libintl-perl 1.33-4
perl-mailtools 2.22-1
perl-term-animation 2.6-12
perl-timedate 2.33-7
phodav 3.0-3
pika-backup 0.7.4-1
pinentry 1.3.1-5
pipes.sh 1.3.0-1
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-audio 1:1.2.7-1
pipewire-jack 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pixman 0.44.2-1
pkgconf 2.3.0-1
playerctl 2.4.1-4
pokemon-colorscripts-git r114.5802ff67-1
polkit 126-2
polkit-gnome 0.105-11
polkit-kde-agent 6.2.5-1
polkit-qt6 0.200.0-1
poppler 25.01.0-1
poppler-glib 25.01.0-1
popt 1.19-2
portal-bin 1.2.3-1
portaudio 1:19.7.0-3
powertop 2.15-2
procps-ng 4.0.5-1
protobuf 29.2-1
protobuf-c 1.5.0-10
psmisc 23.7-1
pugixml 1.15-1
pyprland 2.4.3-0
python 3.13.1-1
python-aiofiles 24.1.0-2
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-brotli 1.1.0-3
python-build 1.2.2-3
python-cachetools 5.5.0-2
python-cairo 1.27.0-2
python-certifi 2024.12.14-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.1-1
python-click 8.1.7-4
python-colorama 0.4.6-5
python-cryptography 44.0.0-1
python-distro 1.9.0-3
python-docopt 0.6.2-14
python-filelock 3.16.1-2
python-fvs 0.3.4-4
python-gobject 3.50.0-2
python-idna 3.10-2
python-installer 0.7.0-10
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-keyutils 0.6-11
python-mako 1.3.8-1
python-markdown 3.7-2
python-markupsafe 2.1.5-3
python-more-itertools 10.5.0-1
python-msgpack 1.0.5-3
python-mutagen 1.47.0-3
python-nvidia-ml-py 12.560.30-1
python-orjson 3.10.15-1
python-outcome 1.3.0.post0-5
python-packaging 24.2-3
python-pathvalidate 3.2.3-1
python-pefile 2024.8.26-1
python-pip 24.3.1-3
python-platformdirs 4.3.6-2
python-psutil 6.1.1-1
python-pycparser 2.22-3
python-pycryptodomex 3.21.0-2
python-pycurl 7.45.3-2
python-pyfuse3 3.4.0-2
python-pyinotify 0.9.6-15
python-pynvml 12.0.0-1
python-pyproject-hooks 1.2.0-3
python-pyxattr 0.8.1-3
python-requests 2.32.3-4
python-setuptools 1:75.2.0-4
python-shtab 1.7.1-3
python-six 1.17.0-1
python-sniffio 1.3.1-4
python-sortedcontainers 2.4.0-7
python-steamgriddb 1.0.5-4
python-termcolor 2.5.0-1
python-tqdm 4.67.1-2
python-trio 0.26.2-2
python-typing_extensions 4.12.2-3
python-urllib3 2.3.0-1
python-websockets 12.0-3
python-wheel 0.45.0-3
python-yaml 6.0.2-2
qemu-base 9.2.0-1
qemu-common 9.2.0-1
qemu-img 9.2.0-1
qemu-system-x86 9.2.0-1
qemu-system-x86-firmware 9.2.0-1
qimgv 1.0.3+alpha+94+ge2675f13-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-3
qt5-declarative 5.15.16+kde+r22-3
qt5-imageformats 5.15.16+kde+r2-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5-x11extras 5.15.16-3
qt5ct 1.8-2
qt6-base 6.8.1-1
qt6-declarative 6.8.1-3
qt6-svg 6.8.1-1
qt6-translations 6.8.1-1
qt6-wayland 6.8.1-1
rav1e 0.7.1-1
re2 1:20240702-2
readline 8.2.013-1
rhash 1.4.4-1
ripgrep 14.1.1-1
rnnoise 1:0.2-1
rofi-emoji 4.0.0-1
rofi-wayland 1.7.8.1-1
rsync 3.4.1-1
rtkit 0.13-3
rubberband 4.0.0-1
ruby 3.3.5-2
ruby-erb 4.0.4-6
ruby-manpages 0.6.1-6
ruby-optimist 3.1.0-3
ruby-paint 2.3.0-4
ruby-rdoc 6.6.3.1-2
rubygems 3.5.16-1
runc 1.2.4-1
satty 0.16.0-1
sbc 2.0-2
scrcpy 3.1-1
sdbus-cpp 2.1.0-2
sdl2 2.30.11-1
seabios 1.16.3-1
seatd 0.9.1-1
sed 4.9-3
semver 7.6.3-1
serd 0.32.4-1
shaderc 2024.4-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
sleuthkit 4.12.1-3
slurp 1.5.0-1
smartmontools 7.4-2
snappy 1.2.1-2
sndio 1.10.0-1
socat 1.8.0.2-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
speedtest-cli 2.1.3-9
speex 1.2.1-2
speexdsp 1.2.1-2
spice-gtk 0.42-4
spice-protocol 0.14.4-2
spirv-tools 2024.4.rc2-1
sqlite 3.48.0-2
squashfs-tools 4.6.1-2
sratom 0.6.16-1
srt 1.5.4-1
starship 1.22.1-1
startup-notification 0.12-8
strace 6.12-1
sudo 1.9.16.p2-2
supermin 5.3.5-1
svt-av1 2.3.0-1
swaync 0.10.1-3
swww 0.9.5-2
syncthing 1.29.2-1
sysfsutils 2.1.1-2
syslinux 6.04.pre3.r3.g05ac953c-3
systemd 257.2-2
systemd-libs 257.2-2
systemd-sysvcompat 257.2-2
taglib 2.0.2-1
tar 1.35-2
tdb 1.4.12-2
television 0.9.4-1
tesseract 5.5.0-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.1.1-1
tgpt 2.8.3-1
thin-provisioning-tools 1.1.0-1
thunderbird 128.5.2-2
tinysparql 3.8.2-2
tldr 3.3.0-2
tmux 3.5_a-1
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.1.3-1
trash-cli 0.24.5.26-2
tree-sitter 0.24.7-1
tree-sitter-c 0.23.4-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
tt 0.4.2-1
ttf-font-awesome 6.7.2-1
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-ms-win11-auto 10.0.26100.1742-3
ttf-nerd-fonts-symbols 3.3.0-1
ttf-nerd-fonts-symbols-common 3.3.0-1
ttf-nerd-fonts-symbols-mono 3.3.0-1
tty-clock 2.3-2
twolame 0.4.0-4
tzdata 2025a-1
uchardet 0.0.8-3
udftools 2.3-2
udiskie 2.5.7-1
udisks2 2.10.1-5
ufw 0.36.2-5
unibilium 2.1.2-1
unimatrix-git r89.5cf67aa-1
unzip 6.0-22
upower 1.90.7-1
usbredir 0.14.0-1
util-linux 2.40.4-1
util-linux-libs 2.40.4-1
v4l-utils 1.28.1-2
vapoursynth R70-2
vde2 2.3.3-6
verdict 1.4.2-1
vid.stab 1.1.1-2
vim 9.1.1043-1
vim-runtime 9.1.1043-1
virt-install 5.0.0-1
virt-manager 5.0.0-1
virt-viewer 11.0-3
virtiofsd 1.13.0-1
vkbasalt-cli 3.1.1-3
vmaf 3.0.0-1
volume_key 0.3.12-10
vte-common 0.78.2-1
vte3 0.78.2-1
vulkan-headers 1:1.4.303-1
vulkan-icd-loader 1.4.303-1
vulkan-tools 1.4.303-2
wavpack 5.7.0-1
wayland 1.23.1-1
wayland-protocols 1.39-1
webkit2gtk 2.46.5-1
webrtc-audio-processing-1 1.3-3
wf-recorder 0.5.0-2
wget 1.25.0-1
which 2.21-6
wireless_tools 30.pre9-4
wireplumber 0.5.7-1
wl-clipboard 1:2.2.1-2
woff2 1.0.2-5
wolfssl 5.7.6-1
wpa_supplicant 2:2.11-2
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
